NOC,Region,Games,Year,GDP (Avg),Athletes,Sports,Events,Athletes per Event,Median Competitor Age,Median Competitor Height,Median Competitor Weight,M/F,Summer,Home_Field Adv,Medaled,Total Medals,Gold,Silver,Bronze,% Medal Bronze,% Medal Silver,% Medal Gold
GHA,Ghana,1964 Summer,1964,844.605,29,3,14,2.071,25.0,171.0,67.0,1,1,0,1,1,0,0,1,1.0,0.0,0.0
HUN,Hungary,1964 Summer,1964,1683.745,182,17,111,1.64,25.0,176.0,73.0,1,1,0,1,56,42,7,7,0.125,0.125,0.75
IND,India,1964 Summer,1964,1802.156,41,7,29,1.414,27.0,171.0,63.0,1,1,0,1,15,15,0,0,0.0,0.0,1.0
IRI,Iran,1964 Summer,1964,2935.193,62,11,58,1.069,25.0,170.5,65.5,1,1,0,1,2,0,0,2,1.0,0.0,0.0
IRQ,Iraq,1964 Summer,1964,5282.472,12,3,14,0.857,25.5,172.0,69.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
ISR,Israel,1964 Summer,1964,3002.295,10,3,12,0.833,24.0,172.0,70.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
ITA,Italy,1964 Summer,1964,2109.998,167,18,91,1.835,25.0,178.0,74.0,1,1,0,1,51,14,28,9,0.176,0.549,0.275
JPN,Japan,1964 Summer,1964,1749.984,328,21,155,2.116,23.0,170.0,65.0,1,1,1,1,62,32,5,25,0.403,0.081,0.516
KEN,Kenya,1964 Summer,1964,4794.711,28,5,15,1.867,26.0,172.5,65.5,1,1,0,0,0,0,0,0,0.0,0.0,0.0
KOR,South Korea,1964 Summer,1964,471.61,153,17,93,1.645,23.0,170.0,65.0,1,1,0,1,3,0,2,1,0.333,0.667,0.0
MAR,Morocco,1964 Summer,1964,787.966,5,3,4,1.25,22.0,169.0,67.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
MEX,Mexico,1964 Summer,1964,1129.647,94,15,58,1.621,23.5,174.0,68.5,1,1,0,1,1,0,0,1,1.0,0.0,0.0
NED,Netherlands,1964 Summer,1964,4024.703,125,12,57,2.193,23.0,180.0,75.0,1,1,0,1,31,5,10,16,0.516,0.323,0.161
NGR,Nigeria,1964 Summer,1964,1864.192,17,2,12,1.417,24.0,175.0,67.0,1,1,0,1,1,0,0,1,1.0,0.0,0.0
NOR,Norway,1964 Summer,1964,1249.2,25,6,23,1.087,27.0,181.0,78.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
NZL,New Zealand,1964 Summer,1964,1156.101,64,11,35,1.829,26.5,179.0,73.0,1,1,0,1,6,4,0,2,0.333,0.0,0.667
PAK,Pakistan,1964 Summer,1964,3669.952,39,7,26,1.5,26.0,173.0,72.0,1,1,0,1,16,0,16,0,0.0,1.0,0.0
PAN,Panama,1964 Summer,1964,323.135,10,5,10,1.0,22.5,163.0,57.5,1,1,0,0,0,0,0,0,0.0,0.0,0.0
PER,Peru,1964 Summer,1964,3993.235,31,5,19,1.632,22.0,180.0,80.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
POL,Poland,1964 Summer,1964,2277.211,140,12,87,1.609,26.0,175.5,71.0,1,1,0,1,46,10,13,23,0.5,0.283,0.217
POR,Portugal,1964 Summer,1964,3240.404,17,7,18,0.944,28.0,172.0,73.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
PUR,Puerto Rico,1964 Summer,1964,883.249,32,8,29,1.103,23.0,180.0,76.5,1,1,0,0,0,0,0,0,0.0,0.0,0.0
ROU,Romania,1964 Summer,1964,2068.855,138,13,76,1.816,26.0,175.0,73.0,1,1,0,1,16,2,4,10,0.625,0.25,0.125
SRI,Sri Lanka,1964 Summer,1964,108.938,6,4,6,1.0,26.5,171.0,57.0,1,1,0,0,0,0,0,0,0.0,0.0,0.0
SUI,Switzerland,1964 Summer,1964,1338.192,65,12,50,1.3,26.0,176.0,74.0,1,1,0,1,5,1,3,1,0.2,0.6,0.2
SWE,Sweden,1964 Summer,1964,1101.862,94,13,72,1.306,24.5,178.0,70.0,1,1,0,1,15,3,4,8,0.533,0.267,0.2
TCH,Czech Republic,1964 Summer,1964,837.128,104,13,64,1.625,25.0,178.0,76.0,1,1,0,1,54,5,37,12,0.222,0.685,0.093
